Course Code,Exam Type,Date(s),Room Info
BED-2020NETT,Skriftlig skoleeksamen - Oslo,Dato: 4. desember 2024 kl. 09:00,N/A
BED-2021NETT,Skriftlig skoleeksamen,Dato: 5. juni 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(HARSTAD): Havnegata 5-7 – Undervisningsrom 7
Studiesenteret Midt-Troms – Rom 258 Finnsnes
Studiesenteret Midt-Troms – Rom 259 Finnsnes
(NARVIK): E-Fløyen – E2463, Undervisningsrom"
BED-2022NETT,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)
(HARSTAD): Havnegata 5-7 – Undervisningsrom 6
(HARSTAD): Havnegata 5-7 – Undervisningsrom 9
(NARVIK): E-Fløyen – E1540, Seminarrom
Finnsnes – Finnsnes
(KIRKENES): UiT i Kirkenes – 402 Seminarrom"
BED-2022NETT,Skriftlig skoleeksamen - Oslo,Dato: 10. desember 2024 kl. 09:00,N/A
BED-2022NETT,Skriftlig skoleeksamen - Storslett,Dato: 10. desember 2024 kl. 09:00,N/A
BED-2023NETT,Hjemmeeksamen,"Utlevering: 15. mai 2025 kl. 09:00
Innlevering: 15. mai 2025 kl. 15:00",N/A
BED-2024NETT,Skriftlig skoleeksamen,Dato: 27. mai 2025 kl. 09:00,"(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(NARVIK): E-Fløyen – E2463, Undervisningsrom"
BED-2025NETT,Skriftlig skoleeksamen,Dato: 25. november 2024 kl. 09:00,"(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(ALTA): Campus Alta Byggetrinn 2 – Rom 2108, Seminarrom (Alta)
(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)
(TROMSO): Teorifagbygget hus 4 – Rom 4.248, leserom (Tromsø)
(NARVIK): E-Fløyen – E2550 Klasserom
Finnsnes – Finnsnes
(KIRKENES): UiT i Kirkenes – 1.05 Store klasserom"
BED-2029,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 9. desember 2024 kl. 14:00",N/A
BED-2029NETT,Hjemmeeksamen,"Utlevering: 9. desember 2024 kl. 09:00
Innlevering: 9. desember 2024 kl. 14:00",N/A
