Course Code,Exam Type,Date(s),Room Info
BVE-2562,Bacheloroppgave,Innlevering: 14. mai 2025 kl. 14:00,N/A
BVE-2661,Hjemmeeksamen,"Utlevering: 18. februar 2025 kl. 09:00
Innlevering: 20. februar 2025 kl. 13:00",N/A
BVE-2662,Muntlig eksamen,Fra 10. juni  til 13. juni 2025,N/A
BVE-2662,Oppgave,Innlevering: 14. mai 2025 kl. 14:00,N/A
BVE-3010,Hjemmeeksamen,"Utlevering: 15. januar 2025 kl. 09:00
Innlevering: 17. januar 2025 kl. 09:00",N/A
BVE-3020,Hjemmeeksamen,"Utlevering: 10. desember 2024 kl. 09:00
Innlevering: 12. desember 2024 kl. 09:00",N/A
BVE-3020,Skriftlig skoleeksamen,Dato: 4. desember 2024 kl. 09:00,(HARSTAD): Havnegata 5-7 – Undervisningsrom 1
BVE-3030,Hjemmeeksamen,"Utlevering: 10. mars 2025 kl. 09:00
Innlevering: 14. mars 2025 kl. 13:00",N/A
BVE-3060,Muntlig eksamen,Fra 11. desember  til 12. desember 2024,N/A
BVE-3970,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
BVEX6,Hjemmeeksamen,Innlevering: 14. mai 2025 kl. 14:00,N/A
BVEX6,Muntlig eksamen,Fra 10. juni  til 13. juni 2025,N/A
ENG-1005,Skriftlig skoleeksamen,Dato: 22. november 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.203, bibliotek (Tromsø)"
ENG-1014,Portfolio,"Utlevering: 6. desember 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 14:00",N/A
ENG-1014,Portfolio,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-1016,Off campus exam,"Utlevering: 2. juni 2025 kl. 09:00
Innlevering: 2. juni 2025 kl. 13:00",N/A
ENG-1110,School exam,Dato: 6. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
ENG-1120,School exam,Dato: 26. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ENG-1122,School exam,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ENG-2050,School exam,Dato: 4. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
ENG-2050,School exam,Dato: 3. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
ENG-2106,Off campus exam,"Utlevering: 6. desember 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 14:00",N/A
ENG-2129,School exam,Dato: 22. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
ENG-2950,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-2951,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-2980,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-2981,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-3050,Assignment,Innlevering: 27. november 2024 kl. 14:00,N/A
ENG-3051,Assignment,Innlevering: 27. november 2024 kl. 14:00,N/A
ENG-3060,Assignment,Innlevering: 24. april 2025 kl. 14:00,N/A
ENG-3070,Assignment,Innlevering: 13. desember 2024 kl. 14:00,N/A
ENG-3105,Assignment,Innlevering: 30. april 2025 kl. 14:00,N/A
ENG-3114,Assignment,Innlevering: 11. desember 2024 kl. 14:00,N/A
ENG-3122,Assignment,Innlevering: 7. mai 2025 kl. 14:00,N/A
ENG-3130,Assignment,Innlevering: 9. desember 2024 kl. 14:00,N/A
ENG-3192,Assignment,Innlevering: 4. desember 2024 kl. 14:00,N/A
ENG-3197,Portfolio,Innlevering: 21. mai 2025 kl. 14:00,N/A
ENG-3982,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-3983,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-3991,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
ENG-3992,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
EXF-0712,Hjemmeeksamen,"Utlevering: 5. desember 2024 kl. 09:00
Innlevering: 5. desember 2024 kl. 14:00",N/A
EXF-0712,Hjemmeeksamen,"Utlevering: 2. mai 2025 kl. 09:00
Innlevering: 2. mai 2025 kl. 14:00",N/A
EXF-0714,Skriftlig skoleeksamen,Dato: 5. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FIL-0700,Muntlig eksamen,Fra 18. november  til 29. november 2024,N/A
FIL-0700,Muntlig eksamen,Fra 19. mai  til 30. mai 2025,N/A
FIL-0700,Oppgave,Innlevering: 6. mai 2025 kl. 14:00,N/A
FIL-0700,Obligatorisk frammøte på undervisning,Fra 18. november  til 29. november 2024,N/A
FIL-0702,Hjemmeeksamen,"Utlevering: 23. april 2025 kl. 09:00
Innlevering: 23. april 2025 kl. 14:00",N/A
FIL-0702,Oppgave,Innlevering: 5. desember 2024 kl. 14:00,N/A
FIL-0702,Oppgave,Innlevering: 5. juni 2025 kl. 14:00,N/A
FIL-1021,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-1022,Skriftlig skoleeksamen,Dato: 12. juni 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FIL-1024,Oppgave,Innlevering: 21. mai 2025 kl. 14:00,N/A
FIL-1025,Oppgave,Innlevering: 20. november 2024 kl. 14:00,N/A
FIL-1025,Skriftlig skoleeksamen,Dato: 5. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-1026,Oppgave,Innlevering: 25. november 2024 kl. 14:00,N/A
FIL-1026,Skriftlig skoleeksamen,Dato: 12. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-1028,Oppgave,Innlevering: 2. desember 2024 kl. 14:00,N/A
FIL-1028,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
FIL-2031,Oppgave,Innlevering: 30. mai 2025 kl. 14:00,N/A
FIL-2034,Oppgave,Innlevering: 29. november 2024 kl. 14:00,N/A
FIL-2034,Muntlig eksamen,Dato: 16. desember 2024 kl. 08:30,"(TROMSO): Teorifagbygget hus 1 – Rom 1.323, undervisning"
FIL-2036,Hjemmeeksamen,"Utlevering: 29. april 2025 kl. 09:00
Innlevering: 14. mai 2025 kl. 14:00",N/A
FIL-2039,Oppgave,Innlevering: 20. mai 2025 kl. 14:00,N/A
FIL-2040,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
FIL-2041,Muntlig eksamen,Dato: 10. desember 2024 kl. 08:30,"(TROMSO): Teorifagbygget hus 1 – Rom 1.323, undervisning"
FIL-2041,Oppgave,Innlevering: 22. november 2024 kl. 14:00,N/A
FIL-2060,Oppgave,Innlevering: 25. november 2024 kl. 14:00,N/A
FIL-2060,Oppgave,Innlevering: 26. mai 2025 kl. 14:00,N/A
FIL-2060,Muntlig eksamen,Dato: 9. desember 2024 kl. 09:00,N/A
FIL-3007,Oppgave,Innlevering: 21. november 2024 kl. 14:00,N/A
FIL-3010,Oppgave,Innlevering: 20. mai 2025 kl. 14:00,N/A
FIL-3017,Oppgave,Innlevering: 26. november 2024 kl. 14:00,N/A
FIL-3018,Oppgave,Innlevering: 27. mai 2025 kl. 14:00,N/A
FIL-3023,Oppgave,Innlevering: 3. juni 2025 kl. 14:00,N/A
FIL-3024,Oppgave,Innlevering: 29. november 2024 kl. 14:00,N/A
FIL-3900,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
FIL-3900,Muntlig eksamen,Dato: 20. november 2024 kl. 11:00,N/A
FIN-1021,Muntlig eksamen,Dato: 2. desember 2024 kl. 12:00,(TROMSO): Teorifagbygget hus 1 – Plan 2 rom til bruk for eksamen
FIN-1021,Skriftlig skoleeksamen,Dato: 22. november 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
FIN-2021,Hjemmeeksamen,"Utlevering: 16. mai 2025 kl. 09:00
Innlevering: 23. mai 2025 kl. 14:00",N/A
FIN-2110,Hjemmeeksamen,"Utlevering: 5. mai 2025 kl. 09:00
Innlevering: 12. mai 2025 kl. 14:00",N/A
FIN-2950,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
FIN-3900,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
GLU-2000,Oppgave,Innlevering: 13. mai 2025 kl. 14:00,N/A
HIF-1110,Hjemmeeksamen,"Utlevering: 6. mai 2025 kl. 09:00
Innlevering: 8. mai 2025 kl. 13:00",N/A
HIF-1111,Hjemmeeksamen,"Utlevering: 23. april 2025 kl. 09:00
Innlevering: 25. april 2025 kl. 13:00",N/A
HIF-2043,Oppgave,Innlevering: 6. juni 2025 kl. 14:00,N/A
HIF-2055,Hjemmeeksamen,"Utlevering: 11. desember 2024 kl. 09:00
Innlevering: 18. desember 2024 kl. 14:00",N/A
HIF-2110,Oppgave,Innlevering: 22. mai 2025 kl. 14:00,N/A
HIF-2151,Hjemmeeksamen,"Utlevering: 15. november 2024 kl. 09:00
Innlevering: 22. november 2024 kl. 14:00",N/A
HIF-2160,Hjemmeeksamen,"Utlevering: 23. april 2025 kl. 09:00
Innlevering: 30. april 2025 kl. 14:00",N/A
HIF-2300,Hjemmeeksamen,"Utlevering: 18. november 2024 kl. 09:00
Innlevering: 25. november 2024 kl. 14:00",N/A
HIF-3010,Assignment,Innlevering: 11. desember 2024 kl. 14:00,N/A
HIF-3011,Assignment,Innlevering: 19. mai 2025 kl. 14:00,N/A
HIF-3021,Assignment,Innlevering: 26. mai 2025 kl. 14:00,N/A
HIF-3022,Off campus exam,"Utlevering: 2. desember 2024 kl. 09:00
Innlevering: 9. desember 2024 kl. 14:00",N/A
HIF-3082,Assignment,Innlevering: 28. mai 2025 kl. 14:00,N/A
HIF-3111,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
HIF-3211,Portfolio,Innlevering: 3. juni 2025 kl. 14:00,N/A
HIF-3301,Hjemmeeksamen,"Utlevering: 22. november 2024 kl. 09:00
Innlevering: 29. november 2024 kl. 14:00",N/A
HIF-3620,School exam,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIF-6002,Mappevurdering,Innlevering: 16. desember 2024 kl. 14:00,N/A
HIS-1010,Skriftlig skoleeksamen,Dato: 13. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
HIS-1023,Hjemmeeksamen,"Utlevering: 22. november 2024 kl. 09:00
Innlevering: 22. november 2024 kl. 15:00",N/A
HIS-1025,Skriftlig skoleeksamen,Dato: 23. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIS-1111,Off campus exam,"Utlevering: 12. november 2024 kl. 09:00
Innlevering: 19. november 2024 kl. 14:00",N/A
HIS-1201,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIS-1202,Skriftlig skoleeksamen,Dato: 16. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
HIS-2009,Hjemmeeksamen,"Utlevering: 26. mai 2025 kl. 09:00
Innlevering: 3. juni 2025 kl. 14:00",N/A
HIS-2010,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
HIS-2019,School exam,Dato: 30. april 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
HIS-2022,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
HIS-3001,Oppgave,Innlevering: 29. november 2024 kl. 14:00,N/A
HIS-3003,Hjemmeeksamen,"Utlevering: 15. november 2024 kl. 09:00
Innlevering: 22. november 2024 kl. 14:00",N/A
HIS-3005,School exam,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
HIS-3008,Hjemmeeksamen,"Utlevering: 28. mars 2025 kl. 09:00
Innlevering: 11. april 2025 kl. 15:00",N/A
