Course Code,Exam Type,Date(s),Room Info
BYG-2610,Skriftlig skoleeksamen,Dato: 22. mai 2025 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
(NARVIK): E-Fløyen – E1540, Seminarrom
(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2463, Undervisningsrom"
BYG-2611,Skriftlig skoleeksamen,Dato: 16. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
BYG-2612,Hjemmeeksamen,"Utlevering: 2. juni 2025 kl. 09:00
Innlevering: 2. juni 2025 kl. 10:30",N/A
BYG-2612,Mappevurdering,Innlevering: 7. mai 2025 kl. 14:00,N/A
BYG-2780,Oppgave,Innlevering: 15. januar 2025 kl. 14:00,N/A
BYG-2780,Oppgave,Innlevering: 27. mai 2025 kl. 14:00,N/A
BYG-2781,Oppgave,Innlevering: 16. mai 2025 kl. 14:00,N/A
BYG-2800,Mappevurdering,"Utlevering: 11. november 2024 kl. 09:00
Innlevering: 25. november 2024 kl. 14:00",N/A
BYG-2800,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
Studiesenteret Midt-Troms – Rom 258 Finnsnes
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E2470, Seminarrom
(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
Universitetet i Agder – Universitetet i Agder"
BYG-2803,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(NARVIK): E-Fløyen – E2550 Klasserom
(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
Universitetet i Agder – Universitetet i Agder"
BYG-2804,Mappevurdering,Innlevering: 28. november 2024 kl. 12:00,N/A
BYG-2804,Skriftlig skoleeksamen,Dato: 26. november 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E1460, Seminarrom
(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
Universitetet i Agder – Universitetet i Agder"
BYG-2805,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,Universitetet i Agder – Universitetet i Agder
BYG-2806,Skriftlig skoleeksamen,Dato: 26. november 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom
(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen"
BYG-2808,Skriftlig skoleeksamen,Dato: 16. desember 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom"
BYG-2809,Skriftlig skoleeksamen,Dato: 22. november 2024 kl. 09:00,"(ALTA): Campus Alta Byggetrinn 2 – Rom 2107, Seminarrom (Alta)
(NARVIK): E-Fløyen – E2471, Seminarrom
(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen"
BYG-2810,Mappevurdering,Innlevering: 25. november 2024 kl. 14:00,N/A
BYG-2810,Mappevurdering,Innlevering: 25. november 2024 kl. 14:00,N/A
BYG-2810,Skriftlig skoleeksamen,Dato: 13. desember 2024 kl. 09:00,"Studiesenteret Midt-Troms – Rom 258 Finnsnes
(MO I RANA): Campus Helgeland – Undervisning
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom
(ALTA): Campus Alta: Paviljong 1, 2, 3 og m.bygg – Rom P178, Parilla
(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
Universitetet i Agder – Universitetet i Agder"
BYG-2811,Skriftlig skoleeksamen,Dato: 27. november 2024 kl. 09:00,"(NARVIK): E-Fløyen – E2471, Seminarrom
Universitetet i Agder – Universitetet i Agder"
BYG-2812,Skriftlig skoleeksamen,Dato: 6. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
BYG-3600,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E2430, Seminarrom
(NARVIK): E-Fløyen – E2470, Seminarrom"
BYG-3601,Skriftlig skoleeksamen,Dato: 13. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E2470, Seminarrom
(NARVIK): E-Fløyen – E2471, Seminarrom"
BYG-3603,Skriftlig skoleeksamen,Dato: 9. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1460, Seminarrom"
BYG-3604,Assignment,Innlevering: 11. desember 2024 kl. 14:00,N/A
BYG-3605,Hjemmeeksamen,Innlevering: 4. desember 2024 kl. 14:00,N/A
BYG-3605,Muntlig eksamen,Dato: 13. desember 2024 kl. 08:15,"(NARVIK): E-Fløyen – E2461, Undervisningsrom"
BYG-3609,Skriftlig skoleeksamen,Dato: 5. mars 2025 kl. 09:00,"(NARVIK): E-Fløyen – E2463, Undervisningsrom"
BYG-3611,Assignment,Innlevering: 11. desember 2024 kl. 14:00,N/A
BYG-3612,School exam,Dato: 9. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1460, Seminarrom"
BYG-3613,School exam,Dato: 13. desember 2024 kl. 09:00,"(NARVIK): E-Fløyen – E1480, Aktivt læringsrom"
BYG-3801,Off campus exam,"Utlevering: 11. desember 2024 kl. 09:00
Innlevering: 11. desember 2024 kl. 12:00",N/A
BYG-3900,Oppgave,Innlevering: 15. mai 2025 kl. 14:00,N/A
