Course Code,Exam Type,Date(s),Room Info
FYS-3900,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
FYS-3901,Assignment,Innlevering: 15. mai 2025 kl. 14:00,N/A
FYS-3907,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
FYS-3931,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
FYS-3931,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
FYS-3941,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
FYS-3941,Assignment,Innlevering: 2. desember 2024 kl. 14:00,N/A
FYS-3941,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
FYS-3951,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
FYS-8012,School exam,Dato: 16. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)
(NARVIK): E-Fløyen – E1480, Aktivt læringsrom"
FYS-8028,School exam,Dato: 29. november 2024 kl. 09:00,N/A
FYS-8029,Off campus exam,Innlevering: 28. november 2024 kl. 14:00,N/A
FYS-8033,Off campus exam,"Utlevering: 14. april 2025 kl. 09:00
Innlevering: 28. april 2025 kl. 14:00",N/A
GEN-8001,Off campus exam,"Utlevering: 13. mars 2025 kl. 12:00
Innlevering: 11. april 2025 kl. 14:00",N/A
GEO-1001,Skriftlig skoleeksamen,Dato: 11. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
GEO-2002,Skriftlig skoleeksamen,Dato: 2. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2003,Skriftlig skoleeksamen,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
GEO-2005,Skriftlig skoleeksamen,Dato: 5. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2006,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
GEO-2007,Skriftlig skoleeksamen,Dato: 5. desember 2024 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2008,School exam,Dato: 16. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
GEO-2010,Skriftlig skoleeksamen,Dato: 9. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-2011,Oppgave,Innlevering: 7. mars 2025 kl. 14:00,N/A
GEO-2012,Oppgave,"Utlevering: 3. desember 2024 kl. 09:00
Innlevering: 6. desember 2024 kl. 13:00",N/A
GEO-2014,Skriftlig skoleeksamen,Dato: 21. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
GEO-2015,Off campus exam,"Utlevering: 7. mars 2025 kl. 14:00
Innlevering: 28. mars 2025 kl. 14:00",N/A
GEO-2015,Off campus exam,"Utlevering: 24. mars 2025 kl. 08:00
Innlevering: 30. april 2025 kl. 14:00",N/A
GEO-2201,Oppgave,Innlevering: 15. desember 2024 kl. 14:00,N/A
GEO-2201,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
GEO-3105,Assignment,"Utlevering: 24. mars 2025 kl. 08:00
Innlevering: 28. mars 2025 kl. 14:00",N/A
GEO-3106,School exam,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – Auditorium Maximum (Tromsø)
GEO-3111,School exam,Dato: 26. november 2024 kl. 09:00,(TROMSO): Teorifagbygget hus 1 – Plan 3 rom til bruk for eksamen
GEO-3112,School exam,Dato: 5. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
GEO-3113,Off campus exam,"Utlevering: 16. juni 2025 kl. 08:00
Innlevering: 27. juni 2025 kl. 14:00",N/A
GEO-3126,Off campus exam,"Utlevering: 20. november 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 12:00",N/A
GEO-3130,Off campus exam,"Utlevering: 22. april 2025 kl. 08:00
Innlevering: 20. mai 2025 kl. 14:00",N/A
GEO-3135,Off campus exam,"Utlevering: 7. november 2024 kl. 09:00
Innlevering: 25. november 2024 kl. 14:00",N/A
GEO-3137,School exam,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
GEO-3138,Assignment,"Utlevering: 7. mai 2025 kl. 08:00
Innlevering: 14. mai 2025 kl. 14:00",N/A
GEO-3138,School exam,Dato: 3. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
GEO-3139,Off campus exam,"Utlevering: 21. mars 2025 kl. 08:00
Innlevering: 11. april 2025 kl. 14:00",N/A
